model_alias,func_id,cwe_id,prompt_type,sample_idx,compilable,vuln_free,truncated,primary_category,failure_group,matched_categories,compile_error
deepseek_1.3b,CWE-119_00,CWE-119,zero_shot,0,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpqbs2h5uk.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpqbs2h5uk.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,zero_shot,1,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpgz5ytsdg.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpgz5ytsdg.c:80:17: error: expected declaration or statement at end of input
   80 |                 for (x; (x < im->sx); x++) {
      |                 ^~~
C:\Users\nepal\AppData\"
deepseek_1.3b,CWE-119_00,CWE-119,zero_shot,2,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmphgd16ypo.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmphgd16ypo.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,zero_shot,3,False,True,True,OTHER,other,OTHER,"C:\Users\nepal\AppData\Local\Temp\tmp5_8w1zzv.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmp5_8w1zzv.c:46:13: error: assignment to 'gdImagePtr' {aka 'struct __field_holder *'} from 'int' makes pointer from integer without a cast [-Wint-conversion]
   46 |         im1 = g"
deepseek_1.3b,CWE-119_00,CWE-119,zero_shot,4,False,True,True,OTHER,other,OTHER,"C:\Users\nepal\AppData\Local\Temp\tmp1lpitkje.c:38:19: error: variably modified 'retraceImages' at file scope
   38 | static gdImagePtr retraceImages[RETRACE_MAX_IMAGES] = {0};
      |                   ^~~~~~~~~~~~~
C:\Users\nepal\AppData\Local\Temp\tmp1lpitkje.c: In function 'gdImageFillToBorder':"
deepseek_1.3b,CWE-119_00,CWE-119,few_shot,0,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpa78d5tuv.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpa78d5tuv.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,few_shot,1,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpnrc7py7t.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpnrc7py7t.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,few_shot,2,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmp925hwpx9.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmp925hwpx9.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,few_shot,3,True,True,False,COMPILABLE,compilable,COMPILABLE,
deepseek_1.3b,CWE-119_00,CWE-119,few_shot,4,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpilnzfc5u.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpilnzfc5u.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,cot,0,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpk0j6v7p2.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpk0j6v7p2.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,cot,1,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmp6snlihie.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmp6snlihie.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_00,CWE-119,cot,2,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpm4bgh429.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpm4bgh429.c:89:50: error: expected ')' at end of input
   89 |                                 if ((c != border)
      |                                    ~             ^
      |"
deepseek_1.3b,CWE-119_00,CWE-119,cot,3,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmph0ipz3ue.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmph0ipz3ue.c:85:25: error: expected declaration or statement at end of input
   85 |                         if (c == border) {
      |                         ^~
C:\Users\nepal\App"
deepseek_1.3b,CWE-119_00,CWE-119,cot,4,False,True,True,SYNTAX_ERROR,malformed_c,SYNTAX_ERROR,"C:\Users\nepal\AppData\Local\Temp\tmpgv3p7iq_.c: In function 'gdImageFillToBorder':
C:\Users\nepal\AppData\Local\Temp\tmpgv3p7iq_.c:85:25: error: expected declaration or statement at end of input
   85 |                         c = gdImageGetPixel (im, i, y - 1);
      |                         ^
C:"
deepseek_1.3b,CWE-119_01,CWE-119,zero_shot,0,False,True,False,CPP_IN_C,missing_context,CPP_IN_C,"C:\Users\nepal\AppData\Local\Temp\tmp6yec_l46.cpp:31:17: error: 'Cues' has not been declared
   31 | const CuePoint* Cues::GetFirst() const
      |                 ^~~~
C:\Users\nepal\AppData\Local\Temp\tmp6yec_l46.cpp:31:34: error: non-member function '__field_holder* const* GetFirst()' cannot have"
